trip,drift,area,site,species_code,species_name,length,gear,year,angler_hours
BLT01_17,BLM0717170201,BL,MPA,BLU,Blue Rockfish,36,FLY,2017,3.036666667
BLT01_17,BLM0717170201,BL,MPA,BLU,Blue Rockfish,31,FLY,2017,3.036666667
BLT01_17,BLM0717170201,BL,MPA,GPR,Gopher Rockfish,28,BAR,2017,3.036666667
BLT01_17,BLM0717170201,BL,MPA,KLP,Kelp Rockfish,31,BAT,2017,3.036666667
BLT01_17,BLM0717170201,BL,MPA,BLU,Blue Rockfish,33,BAT,2017,3.036666667
BLT01_17,BLM0717170201,BL,MPA,BLU,Blue Rockfish,34,BAT,2017,3.036666667
BLT01_17,BLM0717170201,BL,MPA,GPR,Gopher Rockfish,28,BAT,2017,3.036666667
BLT01_17,BLM0717170201,BL,MPA,BLU,Blue Rockfish,34,BAR,2017,3.036666667
BLT01_17,BLM0717170201,BL,MPA,BLU,Blue Rockfish,29,BAT,2017,3.036666667
BLT01_17,BLM0717170201,BL,MPA,BLU,Blue Rockfish,31,BAR,2017,3.036666667
BLT01_17,BLM0717170201,BL,MPA,BLU,Blue Rockfish,33,BAT,2017,3.036666667
BLT01_17,BLM0717170201,BL,MPA,BLU,Blue Rockfish,25,BAT,2017,3.036666667
BLT01_17,BLM0717170201,BL,MPA,GPR,Gopher Rockfish,29,BAT,2017,3.036666667
BLT01_17,BLM0717170201,BL,MPA,BLU,Blue Rockfish,26,BAT,2017,3.036666667
BLT01_17,BLM0717170201,BL,MPA,KLP,Kelp Rockfish,30,FLY,2017,3.036666667
BLT01_17,BLM0717170201,BL,MPA,VER,Vermilion Rockfish,36,BAT,2017,3.036666667
BLT01_17,BLM0717170201,BL,MPA,BLU,Blue Rockfish,32,FLY,2017,3.036666667
BLT01_17,BLM0717170201,BL,MPA,BLU,Blue Rockfish,17,FLY,2017,3.036666667
BLT01_17,BLM0717170201,BL,MPA,BLU,Blue Rockfish,34,FLY,2017,3.036666667
BLT01_17,BLM0717170201,BL,MPA,KLP,Kelp Rockfish,29,BAT,2017,3.036666667
BLT01_17,BLM0717170201,BL,MPA,BLU,Blue Rockfish,27,FLY,2017,3.036666667
BLT01_17,BLM0717170201,BL,MPA,GPR,Gopher Rockfish,28,BAR,2017,3.036666667
BLT01_17,BLM0717170201,BL,MPA,VER,Vermilion Rockfish,41,BAR,2017,3.036666667
BLT01_17,BLM0717170201,BL,MPA,VER,Vermilion Rockfish,36,BAT,2017,3.036666667
BLT01_17,BLM0717170201,BL,MPA,BLU,Blue Rockfish,34,BAT,2017,3.036666667
BLT01_17,BLM0717170201,BL,MPA,KLP,Kelp Rockfish,30,BAR,2017,3.036666667
BLT01_17,BLM0717170201,BL,MPA,VER,Vermilion Rockfish,40,BAT,2017,3.036666667
BLT01_17,BLM0717170201,BL,MPA,BLU,Blue Rockfish,35,FLY,2017,3.036666667
BLT01_17,BLM0717170201,BL,MPA,BLU,Blue Rockfish,20,FLY,2017,3.036666667
BLT01_17,BLM0717170201,BL,MPA,BLU,Blue Rockfish,24,FLY,2017,3.036666667
