StartDate,EndDate,Status,IPAddress,Progress,Duration (in seconds),Finished,RecordedDate,ResponseId,RecipientLastName,RecipientFirstName,RecipientEmail,ExternalReference,LocationLatitude,LocationLongitude,DistributionChannel,UserLanguage,Q1,Q2,Q3,Q4,Q5,Q5_6_TEXT,Q6,Q6_9_TEXT,Q7,Q8,Q9,Q10,Q11,Q12,Q13,Q14,Q15,Q16,Q17,Q18,Q19,Q20,Q22,Q23,Q24,Q25,Q25_9_TEXT,Q26,Q27_1,Q27_2,Q27_3,Q27_4,Q27_5,Q27_6,Q27_7,Q27_8,Q28_1,Q28_2,Q28_3,Q28_4,Q28_5,Q28_6,Q28_7,Q28_8,Q28_9,Q39,Q30,Q31,Q31_5_TEXT,Q32,Q33,Q34,Q35,Q36,Q37,Q38
Start Date,End Date,Response Type,IP Address,Progress,Duration (in seconds),Finished,Recorded Date,Response ID,Recipient Last Name,Recipient First Name,Recipient Email,External Data Reference,Location Latitude,Location Longitude,Distribution Channel,User Language,"Section 1: CCFRP Angler Involvement

 

 

The following are questions about your experience volunteering with CCFRP.

 

 
1. What year did you first volunteer with CCFRP?",2. How often do you volunteer with CCFRP?,3. How many trips have you gone on with CCFRP? Select only one.,4. What institution have you volunteered with most?,5. Why did you volunteer to participate on your last CCFRP fishing trip? Select all that apply. - Selected Choice,5. Why did you volunteer to participate on your last CCFRP fishing trip? Select all that apply. - Other (specify) - Text,6. Did you learn anything while volunteering with CCFRP that you found useful? Select all that apply. - Selected Choice,6. Did you learn anything while volunteering with CCFRP that you found useful? Select all that apply. - Other (specify) - Text,7. I use the following resources to learn about the data collected by CCFRP: Select all that apply.,8. I have told my recreational fishing buddies about CCFRP.,"Section 2) Marine Protected Areas

 

 

Marine protected areas (MPAs) are designated areas of the ocean where different types of activities such as fishing are monitored or prohibited. These marine protected areas are similar to designated areas on land such as national and state parks. 

 

The following is split into three subsections: questions about your view of MPAs before volunteering with CCFRP, questions about your view of MPAs after volunteering with CCFRP, and then general questions about MPAs.

 

Before

 
9. Before volunteering with CCFRP, what was your general opinion of the creation of MPAs in California?

My general opinion of MPA creation was …","10. Before volunteering with CCFRP, did you believe the creation of MPAs would affect the size/abundance of groundfish inside MPAs? Select all that apply.","After

 
11. After volunteering with CCFRP, what was your general opinion of the creation of MPAs in California?

My general opinion of MPA creation was…","12. After volunteering with CCFRP, did you believe the creation of MPAs would affect the size/abundance of groundfish inside MPAs? Select all that apply.","General

 

 
13. If you believe that California MPA creation affected groundfish abundance and/or size, what aspect(s) of MPAs do you believe caused these changes? Select all that apply.","14. In your opinion, what is the purpose of a Marine Protected Area? Select all that apply","15. Have you ever fished in a Marine Protected Area before it was protected OR while volunteering with CCFRP? (If no, skip to section 3)","16. Think about this when answering 16 a-c: Have you experienced a difference in fishing in an MPA versus outside of an MPA? 
 

a. I catch more fish when fishing inside...",b. I catch a greater diversity of fish species when fishing inside…,c. I catch larger fish when fishing inside….,17. What is the primary reason you enjoy fishing with CCFRP in an MPA (select one):,"18. Hypothetically, how much would you be willing to pay for one day of catch and release fishing inside an MPA while NOT participating on a CCFRP trip?","Section 3) Natural Resource Conservation

 

Now we would like to query you on your opinions about conservation. The Merriam-Webster dictionary definition of Conservation is: the careful preservation and protection of something, especially the planned management of a natural resource to prevent exploitation, destruction, or neglect. 

 

Additionally, this section asks a few questions about potential ocean issues in their relation to California’s coastal waters.

 
19. In general, would you say you are more conservation-minded or less conservation-minded than others in the recreational angling community?

Compared to the rest of the angling community, I am …",20. Do you participate in activities with conservation-oriented groups (separate from CCFRP)?,21. How informed do you consider yourself to be concerning ocean issues in California?,22. In what ways do you currently obtain information about ocean-related issues? Select all that apply. - Selected Choice,22. In what ways do you currently obtain information about ocean-related issues? Select all that apply. - Other - Text,"23. In your opinion, how well are California groundfish stocks managed? 
 
I believe California groundfish stocks are:",24. Please rank the following types of fishing gear or fishing practices (from 1 to 8) as having the greatest impact on the degradation of the marine environment or reduction in fish stocks. (1 is least impact and 8 is greatest impact). - Traps or pots,"24. Please rank the following types of fishing gear or fishing practices (from 1 to 8) as having the greatest impact on the degradation of the marine environment or reduction in fish stocks. (1 is least impact and 8 is greatest impact). - Hook and line, recreational",24. Please rank the following types of fishing gear or fishing practices (from 1 to 8) as having the greatest impact on the degradation of the marine environment or reduction in fish stocks. (1 is least impact and 8 is greatest impact). - Bottom trawling,24. Please rank the following types of fishing gear or fishing practices (from 1 to 8) as having the greatest impact on the degradation of the marine environment or reduction in fish stocks. (1 is least impact and 8 is greatest impact). - Longline,24. Please rank the following types of fishing gear or fishing practices (from 1 to 8) as having the greatest impact on the degradation of the marine environment or reduction in fish stocks. (1 is least impact and 8 is greatest impact). - Gill nets,24. Please rank the following types of fishing gear or fishing practices (from 1 to 8) as having the greatest impact on the degradation of the marine environment or reduction in fish stocks. (1 is least impact and 8 is greatest impact). - Midwater trawling,"24. Please rank the following types of fishing gear or fishing practices (from 1 to 8) as having the greatest impact on the degradation of the marine environment or reduction in fish stocks. (1 is least impact and 8 is greatest impact). - Hook and line, commercial",24. Please rank the following types of fishing gear or fishing practices (from 1 to 8) as having the greatest impact on the degradation of the marine environment or reduction in fish stocks. (1 is least impact and 8 is greatest impact). - Spearfishing,"25. This question consists of a chart that queries you on your opinion of potential ocean issues. Statements are rated 1-7. An answer of ‘1’ indicates that you strongly disagree, ‘4’ indicates no opinion, and ‘7’ indicates you strongly agree with the statement.
 

Please indicate whether you think any of the following is a threat to California’s marine environment. Please select ONE number for each. - Water Pollution","25. This question consists of a chart that queries you on your opinion of potential ocean issues. Statements are rated 1-7. An answer of ‘1’ indicates that you strongly disagree, ‘4’ indicates no opinion, and ‘7’ indicates you strongly agree with the statement.
 

Please indicate whether you think any of the following is a threat to California’s marine environment. Please select ONE number for each. - Marine Debris","25. This question consists of a chart that queries you on your opinion of potential ocean issues. Statements are rated 1-7. An answer of ‘1’ indicates that you strongly disagree, ‘4’ indicates no opinion, and ‘7’ indicates you strongly agree with the statement.
 

Please indicate whether you think any of the following is a threat to California’s marine environment. Please select ONE number for each. - Loss of Marine Biodiversity","25. This question consists of a chart that queries you on your opinion of potential ocean issues. Statements are rated 1-7. An answer of ‘1’ indicates that you strongly disagree, ‘4’ indicates no opinion, and ‘7’ indicates you strongly agree with the statement.
 

Please indicate whether you think any of the following is a threat to California’s marine environment. Please select ONE number for each. - Overfishing","25. This question consists of a chart that queries you on your opinion of potential ocean issues. Statements are rated 1-7. An answer of ‘1’ indicates that you strongly disagree, ‘4’ indicates no opinion, and ‘7’ indicates you strongly agree with the statement.
 

Please indicate whether you think any of the following is a threat to California’s marine environment. Please select ONE number for each. - Invasive/Exotic Species","25. This question consists of a chart that queries you on your opinion of potential ocean issues. Statements are rated 1-7. An answer of ‘1’ indicates that you strongly disagree, ‘4’ indicates no opinion, and ‘7’ indicates you strongly agree with the statement.
 

Please indicate whether you think any of the following is a threat to California’s marine environment. Please select ONE number for each. - Rising Sea Temperatures","25. This question consists of a chart that queries you on your opinion of potential ocean issues. Statements are rated 1-7. An answer of ‘1’ indicates that you strongly disagree, ‘4’ indicates no opinion, and ‘7’ indicates you strongly agree with the statement.
 

Please indicate whether you think any of the following is a threat to California’s marine environment. Please select ONE number for each. - Ocean Acidification and Hypoxia","25. This question consists of a chart that queries you on your opinion of potential ocean issues. Statements are rated 1-7. An answer of ‘1’ indicates that you strongly disagree, ‘4’ indicates no opinion, and ‘7’ indicates you strongly agree with the statement.
 

Please indicate whether you think any of the following is a threat to California’s marine environment. Please select ONE number for each. - Wave energy/ Power development","25. This question consists of a chart that queries you on your opinion of potential ocean issues. Statements are rated 1-7. An answer of ‘1’ indicates that you strongly disagree, ‘4’ indicates no opinion, and ‘7’ indicates you strongly agree with the statement.
 

Please indicate whether you think any of the following is a threat to California’s marine environment. Please select ONE number for each. - Oil/gas exploration or transport",Based on the above graphic how interconnected are you with nature? Choose a number between 1-7,"Section 4) Basic Demographics

 
27. What is the zip code of your primary residence?",28. I identify as - Selected Choice,28. I identify as - Other: (specify) - Text,29. What is your age?,30. What is the highest level of education you have completed?,31. Which of the following categories best describes your household’s total annual income before taxes in 2020?,"32. Have you or anyone you know ever worked in marine resource management at the local, state, federal, or academic level. Select all that apply. (e.g., CA Department of Fish and Wildlife or NOAA)","33. Have you ever worked in the recreational fishing industry? (e.g., a captain, boat crew, bait or tackle salesperson, etc.)","34. Have you ever worked in the commercial fishing industry? (e.g., a fisherman, captain, boat crew, buyer, etc.)",35. Additional space is provided below for any additional comments or concerns regarding this survey.
"{""ImportId"":""startDate"",""timeZone"":""America/Denver""}","{""ImportId"":""endDate"",""timeZone"":""America/Denver""}","{""ImportId"":""status""}","{""ImportId"":""ipAddress""}","{""ImportId"":""progress""}","{""ImportId"":""duration""}","{""ImportId"":""finished""}","{""ImportId"":""recordedDate"",""timeZone"":""America/Denver""}","{""ImportId"":""_recordId""}","{""ImportId"":""recipientLastName""}","{""ImportId"":""recipientFirstName""}","{""ImportId"":""recipientEmail""}","{""ImportId"":""externalDataReference""}","{""ImportId"":""locationLatitude""}","{""ImportId"":""locationLongitude""}","{""ImportId"":""distributionChannel""}","{""ImportId"":""userLanguage""}","{""ImportId"":""QID1_TEXT""}","{""ImportId"":""QID2""}","{""ImportId"":""QID3""}","{""ImportId"":""QID4""}","{""ImportId"":""QID5""}","{""ImportId"":""QID5_6_TEXT""}","{""ImportId"":""QID6""}","{""ImportId"":""QID6_9_TEXT""}","{""ImportId"":""QID7""}","{""ImportId"":""QID8""}","{""ImportId"":""QID9""}","{""ImportId"":""QID10""}","{""ImportId"":""QID11""}","{""ImportId"":""QID12""}","{""ImportId"":""QID13""}","{""ImportId"":""QID14""}","{""ImportId"":""QID15""}","{""ImportId"":""QID16""}","{""ImportId"":""QID17""}","{""ImportId"":""QID18""}","{""ImportId"":""QID19""}","{""ImportId"":""QID20""}","{""ImportId"":""QID22""}","{""ImportId"":""QID23""}","{""ImportId"":""QID24""}","{""ImportId"":""QID25""}","{""ImportId"":""QID25_9_TEXT""}","{""ImportId"":""QID26""}","{""ImportId"":""QID27_1""}","{""ImportId"":""QID27_2""}","{""ImportId"":""QID27_3""}","{""ImportId"":""QID27_4""}","{""ImportId"":""QID27_5""}","{""ImportId"":""QID27_6""}","{""ImportId"":""QID27_7""}","{""ImportId"":""QID27_8""}","{""ImportId"":""QID28_1""}","{""ImportId"":""QID28_2""}","{""ImportId"":""QID28_3""}","{""ImportId"":""QID28_4""}","{""ImportId"":""QID28_5""}","{""ImportId"":""QID28_6""}","{""ImportId"":""QID28_7""}","{""ImportId"":""QID28_8""}","{""ImportId"":""QID28_9""}","{""ImportId"":""QID39_TEXT""}","{""ImportId"":""QID30_TEXT""}","{""ImportId"":""QID31""}","{""ImportId"":""QID31_5_TEXT""}","{""ImportId"":""QID32""}","{""ImportId"":""QID33""}","{""ImportId"":""QID34""}","{""ImportId"":""QID35""}","{""ImportId"":""QID36""}","{""ImportId"":""QID37""}","{""ImportId"":""QID38_TEXT""}"
2021-08-12 08:56:53,2021-08-12 09:13:42,1,,100,1009,1,2021-08-12 09:13:44,R_1Hiscj3tqgOsdQH,,,,,35.03070068359375,-120.49720001220703125,preview,EN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2021-08-12 15:11:04,2021-08-12 15:15:57,0,24.237.108.2,100,293,1,2021-08-12 15:15:58,R_vZVk0dKkexAd0lz,,,,,61.1497955322265625,-149.8256988525390625,anonymous,EN,2019,3,1,1,"1,4",,"5,6",,"1,2",1,1,"2,5",1,"1,2","1,6","1,3,4",1,3,3,3,5,2,1,1,4,"2,4,6,7",,3,4,3,7,5,5,6,4,2,7,7,7,7,7,7,7,5,7,4,95521,2,,2,6,2,1,2,2,
2021-08-12 13:41:03,2021-08-12 15:57:00,0,208.180.18.19,100,8157,1,2021-08-12 15:57:01,R_2c8dSPqqQNhhwcB,,,,,40.797698974609375,-124.15650177001953125,anonymous,EN,2017,3,1,1,"2,3,4",,5,,2,1,4,"1,2",4,"1,2","1,2,3,5",1,2,,,,5,1,1,2,4,"1,6,7",,3,6,,7,7,8,4,1,1,6,6,5,5,2,5,4,4,4,5,95503,1,,5,5,4,3,1,1,
2021-08-12 16:35:29,2021-08-12 16:40:08,0,73.189.22.120,100,278,1,2021-08-12 16:40:09,R_wKUda1c0MmZslot,,,,,37.4774932861328125,-122.45050048828125,anonymous,EN,2017,3,2,4,"1,3,4,5",,"1,4,5,6,7",,"1,2",1,1,"1,2",1,"1,2","1,2,3,4","1,3,4",2,,,,5,5,1,1,3,"2,3,6",,3,3,2,7,8,8,5,4,2,7,7,7,7,6,7,7,6,7,5,94117,2,,2,5,3,"1,3",1,2,
2021-08-12 16:48:32,2021-08-12 16:55:19,0,184.189.225.199,100,406,1,2021-08-12 16:55:19,R_3HAI7bjiAU6r1QY,,,,,34.4264984130859375,-119.86309814453125,anonymous,EN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,,,,,,,,,,,,,
2021-08-12 16:37:33,2021-08-12 17:14:34,0,45.136.131.40,100,2221,1,2021-08-12 17:14:34,R_2SoQE8azcxmJR7f,,,,,33.8697052001953125,-118.36930084228515625,anonymous,EN,2008,1,5,4,"1,2,3,4,5,6",Dedicated to a safe experience,"6,9",Learn to fish and not kill the fish,"1,2,3",1,2,"1,2",1,"1,2","4,5,6","1,3,4",1,1,1,1,5,4,1,1,3,"1,6,9","First hand experience ",3,3,2,8,8,8,7,7,4,7,7,5,,5,7,7,5,7,4+,93428,1,,6,5,9,4,2,2,
2021-08-12 17:28:24,2021-08-12 17:45:41,0,75.0.66.66,100,1036,1,2021-08-12 17:45:41,R_31uRbvPnr2INxqm,,,,,35.640899658203125,-120.7010040283203125,anonymous,EN,2019,3,,4,"3,4,5",,"1,2,4,5",,2,1,2,2,1,2,"1,4","1,3,4",1,1,4,4,5,2,1,2,3,"3,6,9",,3,,1,8,8,8,4,2,2,6,6,6,7,5,4,4,4,3,,93442,1,,6,3,,3,1,2,keep up the good work. Pleas send updates in the marine world
2021-08-12 18:08:38,2021-08-12 18:20:18,0,76.206.199.86,100,699,1,2021-08-12 18:20:18,R_1rqCdVvKOms493X,,,,,37.967498779296875,-122.2899017333984375,anonymous,EN,"I don't remember, maybe 5 years ago.",1,3,3,"1,3,4,5",,"5,6",,"1,2,3",1,4,"5,6",1,2,"3,5",1,1,4,4,4,5,1,1,1,2,"1,2,4,6",,2,1,1,8,5,5,5,1,1,5,5,6,3,1,5,1,1,3,5,94564,1,,6,6,,3,2,2,
